 Study_Hours  Attendance  Assignments  Marks
0             1          60            2     35
1             2          65            3     40
2             3          70            4     45
3             4          72            5     50
4             5          75            5     58
5             6          80            6     65
6             7          82            7     72
7             8          85            7     78
8             9          88            8     82
9            10          90            8     88
10           11          92            9     92
11           12          95           10     9
